epoch,loss
1,0.050112786214976
2,0.021514895327744
3,0.0229970301013617
4,0.0177031563861029
5,0.017443213345749
6,0.0146016231516287
7,0.013286937116867
8,0.0122379646858289
9,0.011439722740934
10,0.0107982556468674
11,0.0101870685993205
12,0.0098324325822648
13,0.0094135560627494
14,0.0090230276719445
15,0.0108532369846389
16,0.0090598667129164
17,0.008596018045431
18,0.0083625602003719
19,0.0081222956068813
20,0.0079327865415031
21,0.007760628791792
22,0.0076584752782114
23,0.0074553330473247
24,0.0072282713926619
25,0.0070780001447669
26,0.0069394217626679
27,0.0068034705085059
28,0.0066532677571688
29,0.0064494719817524
30,0.0063421463904281
31,0.0062289765282046
32,0.006115059346138
33,0.0059780253186112
34,0.0058684190956964
35,0.0057449122624737
36,0.0055523831397295
37,0.0054610324580044
38,0.0053720154267336
39,0.0052141567381719
40,0.0050997471303812
41,0.0050316005501718
42,0.004967581902054
43,0.0048328696617058
44,0.0047024036979391
45,0.0045995595643208
46,0.004469886344547
47,0.0044050274438978
48,0.0043111041831296
49,0.0042906259297437
50,0.0041806673564549
51,0.0040988531961504
52,0.0040470814953247
53,0.0039555395265952
54,0.0038860952481627
55,0.0038201322756885
56,0.0038227379610318
57,0.0037375061351451
58,0.0036141127458817
59,0.0035553480210226
60,0.0035024890343525
61,0.003436515118838
62,0.0033910775867601
63,0.0033100506046875
64,0.003296777838841
65,0.0032085252127477
66,0.0032675003278113
67,0.0032360099389084
68,0.0032001959958246
69,0.0031654323185128
70,0.0030095099715427
71,0.0029364942595185
72,0.0029353852760756
73,0.0029040106372641
74,0.0028153369979312
75,0.0027593111153692
76,0.0027967476330342
77,0.0028530945003564
78,0.0027235208434008
79,0.0026453046039456
80,0.0026117801067552
81,0.0025826072253819
82,0.0025311062289845
83,0.0025051480624824
84,0.0025276110086235
85,0.0024573022078367
86,0.002455666439519
87,0.0024058717702116
88,0.0023676164869573
89,0.0023298580088608
90,0.0023875415569082
91,0.0023478826153136
92,0.0023324670425305
93,0.0022613228786559
94,0.0022182963411545
95,0.0021869302505538
96,0.0021345889184712
97,0.0021012483020534
98,0.0020725822042939
99,0.0020966399904517
100,0.0020648826667595
101,0.0020954068861014
102,0.0020707228742096
103,0.0020343949796543
104,0.0020255422873777
105,0.002048204841447
106,0.0019759939806092
107,0.001933099507975
108,0.0018976923754616
109,0.0018863674707799
110,0.0018479664078248
111,0.0018231026229581
112,0.0018977376831961
113,0.0018231060378076
114,0.0018385577104276
115,0.0018272521196021
116,0.001831871845449
117,0.0018292916772354
118,0.001767005993142
119,0.0017434574574941
120,0.0017193311248861
121,0.0016829151704552
122,0.0016515525390527
123,0.0016320019550178
124,0.001701861891585
125,0.0016110759793913
126,0.001622264134875
127,0.001578349215422
128,0.001572393546147
129,0.0015502564076866
130,0.0015187094464809
131,0.0015305619232267
132,0.0015621553784945
133,0.0015329295281498
134,0.0015362657418119
135,0.0015148863506813
136,0.0014785206932131
137,0.0014345144376247
138,0.0014339597297034
139,0.0014245614597928
140,0.001418836387096
141,0.0013761492834116
142,0.0014308201304326
143,0.0014415869844101
144,0.0014088586793236
145,0.0014384810457981
146,0.0014079379505433
147,0.0013859475508243
148,0.0013410034700341
149,0.001306920312345
150,0.0013115924306302
151,0.0012645052601805
152,0.0012584637540082
153,0.0013408240075001
154,0.0013048644177615
155,0.0012855542590841
156,0.0012912076088555
157,0.0012550321906538
158,0.0012389181758321
159,0.0012081390956328
160,0.0011927231181679
161,0.0011970781377472
162,0.001182478276037
163,0.0012152997078374
164,0.0012237070283542
165,0.0012642896756352
166,0.0012810662821201
167,0.0014422347303479
168,0.0015277216388356
169,0.0016221267426209
170,0.0016248092620766
171,0.0014898757938118
172,0.0013084561076192
173,0.0012195210770836
174,0.0011497118643351
175,0.0011159339365327
176,0.0011365967691831
177,0.0011580532826926
178,0.0011074773612476
179,0.0010827543890281
180,0.0010587263913337
181,0.0010563003930396
182,0.0010589460199255
183,0.0010906888914871
184,0.0010746345339742
185,0.0010496507803465
186,0.0010479605102556
187,0.0010362617349961
188,0.0010398419440857
189,0.0010446867839034
190,0.0010409249669118
191,0.0010535152811956
192,0.0010117432462894
193,0.0010242725478573
194,0.0009979372483766
195,0.0010191860492341
196,0.0009691816521808
197,0.0009704169434761
198,0.0009502761864236
199,0.0009505875475172
200,0.0009446313654604
201,0.000972143889937
202,0.0009636278679993
203,0.0009666421988402
204,0.0009439027358201
205,0.0009752164533849
206,0.0009805927208314
207,0.000953871756792
208,0.000948054876755
209,0.000928114556397
210,0.0009063516128143
211,0.0009202736463131
212,0.0009083221278463
213,0.0009004561441196
214,0.0008849256555549
215,0.0032918760054079
216,0.0012978275162389
217,0.0009883569714258
218,0.0009032244921573
219,0.0008673520115691
220,0.0008574201159977
221,0.0008508770870754
222,0.0008495941680545
223,0.0008446551149799
224,0.0008388055749015
225,0.0008320104513716
226,0.0008312934798942
227,0.0008317960226642
228,0.0008302697429566
229,0.000826551711985
230,0.0008285320003605
231,0.000849979084229
232,0.0008542352256232
233,0.0008523908798538
234,0.0008493120133477
235,0.0008325663179026
236,0.0008349627771947
237,0.0008401591691099
238,0.0008355529917891
239,0.0008253398201694
240,0.0008238011117403
241,0.0008612290285305
242,0.0008429658732243
243,0.0008979487216233
244,0.0009044575355281
